,client_id,forns_mes,max
0,9675,1,2019-11-28 20:43:21.470972
1,20204,1,2020-03-13 12:08:00.911829
2,29105,1,2020-07-24 14:32:56.463797
3,29317,1,2020-07-08 12:42:24.480300
4,39465,1,2020-08-07 10:15:21.354839
5,40238,1,2020-07-31 17:10:18.356510
6,40273,1,2020-08-03 13:49:00.700075
7,40404,1,2020-06-25 15:31:58.589795
8,40574,1,2020-07-21 14:00:01.551788
9,40678,1,2020-03-17 17:21:17.289754
10,40823,1,2020-07-01 16:25:01.304951
11,41436,1,2020-05-25 13:26:09.998395
12,41535,1,2020-03-09 20:11:19.089228
13,41976,1,2020-07-31 19:30:23.587294
14,42763,1,2020-06-16 11:43:50.293206
15,42844,1,2020-07-09 17:52:25.304379
16,43190,1,2020-07-11 01:36:41.118336
17,45721,1,2020-08-01 11:49:47.497733
18,46060,1,2020-07-27 21:58:25.588046
19,46121,1,2020-06-18 18:57:48.540477
20,46312,1,2020-07-31 18:30:57.427021
21,46791,1,2020-07-13 18:22:58.157206
22,47935,1,2020-07-17 19:26:15.304558
23,48138,1,2020-07-20 17:17:27.874763
24,48340,1,2020-08-05 16:09:24.974585
25,48801,1,2020-08-06 14:34:55.955374
